ID,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,property_value,income,Credit_Score,LTV,dtir1,loan_type,loan_purpose,Credit_Worthiness,age,Region,occupancy_type,business_or_commercial,Status
24890,116500,NULL,NULL,NULL,360,118000,1740,758,98.72881356,45,type1,p1,l1,25-34,south,pr,nob/c,1
24891,206500,NULL,NULL,NULL,360,NULL,4980,552,NULL,NULL,type2,p1,l1,55-64,North,pr,b/c,1
24892,406500,4.56,0.2,595,360,508000,9480,834,80.01968504,46,type1,p1,l1,35-44,south,pr,nob/c,0
24893,456500,4.25,0.681,NULL,360,658000,11880,587,69.3768997,42,type1,p4,l1,45-54,North,pr,nob/c,0
24894,696500,4,0.3042,0,360,758000,10440,602,91.88654354,39,type1,p1,l1,25-34,North,pr,nob/c,0
24895,706500,3.99,0.1523,370,360,1008000,10080,864,70.08928571,40,type1,p1,l1,35-44,North,pr,nob/c,0
24896,346500,4.5,0.9998,5120,360,438000,5040,860,79.10958904,44,type1,p3,l1,55-64,North,pr,nob/c,0
24897,266500,4.125,0.2975,5609.88,360,308000,3780,863,86.52597403,42,type1,p4,l1,55-64,North,pr,nob/c,0
24898,376500,4.875,0.7395,1150,360,478000,5580,580,78.76569038,44,type1,p3,l1,55-64,central,pr,nob/c,0
24899,436500,3.49,-0.2776,2316.5,360,688000,6720,788,63.44476744,30,type3,p3,l1,55-64,south,pr,nob/c,0
24900,136500,NULL,NULL,NULL,300,168000,4020,723,81.25,44,type2,p3,l2,55-64,North,pr,b/c,1
24901,466500,4.375,0.1871,1150,360,708000,9540,501,65.88983051,36,type1,p3,l1,35-44,south,pr,nob/c,0
24902,206500,NULL,NULL,NULL,360,258000,3780,884,80.03875969,51,type2,p3,l1,65-74,North,pr,b/c,1
24903,436500,3.625,0.6146,0,360,508000,NULL,520,85.92519685,NULL,type2,p4,l1,55-64,North,pr,b/c,0
24904,226500,4.5,0.4657,3953.13,360,298000,7860,773,76.00671141,39,type1,p4,l1,35-44,North,pr,nob/c,0
24905,76500,NULL,NULL,NULL,360,138000,2220,685,55.43478261,20,type1,p4,l1,45-54,North,pr,nob/c,1
24906,356500,NULL,NULL,NULL,360,368000,5340,846,96.875,44,type2,p1,l1,25-34,North,pr,b/c,1
24907,156500,NULL,NULL,NULL,360,168000,3120,534,93.1547619,44,type1,p3,l1,65-74,North,pr,nob/c,1
24908,406500,4.56,0.458,895,360,598000,5340,629,67.97658863,44,type1,p1,l1,45-54,North,pr,nob/c,0
24909,586500,3.175,-0.3446,650,360,748000,12540,688,78.40909091,31,type1,p4,l1,55-64,south,sr,nob/c,0
24910,306500,2.99,0.2837,10470,180,558000,16860,668,54.92831541,6,type1,p3,l1,65-74,North,pr,nob/c,0
24911,136500,3.99,0.4819,4156.25,360,198000,2100,758,68.93939394,36,type1,p3,l1,>74,North,pr,nob/c,0
24912,306500,NULL,NULL,NULL,360,448000,2880,692,68.41517857,44,type1,p3,l1,55-64,south,pr,nob/c,1
24913,316500,3.625,0.0454,6661.88,360,508000,2760,620,62.30314961,44,type1,p3,l1,65-74,south,pr,nob/c,0
24914,336500,4.5,0.0759,0,360,428000,4980,846,78.62149533,35,type1,p3,l2,35-44,south,pr,nob/c,0
24915,426500,4.99,1.2706,169.5,360,568000,8940,533,75.08802817,34,type1,p3,l1,45-54,North,pr,nob/c,0
24916,476500,NULL,NULL,NULL,360,NULL,6780,518,NULL,NULL,type3,p1,l1,45-54,south,pr,nob/c,1
24917,196500,5.25,1.2158,5245.09,360,258000,3840,812,76.1627907,49,type1,p4,l1,25-34,south,pr,nob/c,0
24918,186500,4.25,1.0186,5376.25,360,218000,3840,534,85.55045872,46,type1,p1,l1,55-64,central,pr,nob/c,0
24919,436500,3.625,0.266,6260,360,468000,4920,647,93.26923077,42,type1,p1,l1,35-44,south,pr,nob/c,0
24920,246500,4.25,1.4614,0,360,258000,5400,683,95.54263566,39,type2,p1,l1,25-34,North,pr,b/c,0
24921,216500,2.99,-0.6203,2101.63,360,228000,NULL,705,94.95614035,NULL,type3,p4,l1,55-64,North,pr,nob/c,0
24922,306500,4.125,0.2848,3752.4,360,318000,5580,701,96.3836478,37,type1,p1,l1,35-44,North,pr,nob/c,0
24923,316500,3.75,0.1681,5560.63,360,338000,3720,591,93.63905325,41,type1,p1,l1,45-54,North,pr,nob/c,0
24924,506500,4.25,0.147,0,360,538000,7500,647,94.14498141,36,type1,p1,l1,25-34,North,pr,nob/c,0
24925,266500,4.99,1.3774,2337.4,360,408000,3540,889,65.31862745,40,type1,p3,l1,45-54,south,pr,nob/c,0
24926,406500,4,0.34,4070,360,1018000,9180,651,39.93123772,38,type1,p1,l1,55-64,south,ir,nob/c,0
24927,656500,3.375,-0.1555,13016.46,360,1108000,9660,716,59.25090253,42,type1,p4,l1,45-54,North,pr,nob/c,0
24928,256500,NULL,NULL,NULL,180,418000,3780,780,61.36363636,45,type1,p4,l1,65-74,central,pr,nob/c,1
24929,396500,NULL,NULL,NULL,360,418000,7560,799,94.85645933,42,type1,p4,l1,35-44,North,pr,nob/c,1
24930,396500,4.99,0.6835,5072.5,360,528000,9060,766,75.09469697,30,type1,p3,l1,35-44,south,pr,nob/c,0
24931,166500,3.99,1.2351,1657.5,360,198000,3480,868,84.09090909,56,type2,p3,l1,35-44,central,pr,b/c,0
24932,466500,NULL,NULL,NULL,360,NULL,0,765,NULL,NULL,type3,p4,l1,45-54,North,pr,nob/c,1
24933,236500,NULL,NULL,NULL,360,248000,3120,673,95.36290323,38,type2,p4,l1,35-44,central,pr,b/c,1
24934,866500,NULL,NULL,NULL,360,1508000,13620,876,57.4602122,44,type1,p4,l1,35-44,south,pr,nob/c,1
24935,416500,3.625,-0.1235,2462.96,360,528000,7380,886,78.88257576,39,type1,p4,l1,45-54,North,pr,nob/c,0
24936,436500,3.25,0.4238,12283.66,360,508000,4920,772,85.92519685,38,type2,p3,l1,55-64,south,pr,b/c,0
24937,356500,4.125,0.1691,786.33,360,608000,3720,640,58.63486842,49,type1,p3,l1,55-64,North,pr,nob/c,0
24938,386500,2.75,-0.7794,3808.56,360,428000,NULL,798,90.30373832,NULL,type3,p4,l1,45-54,south,pr,nob/c,0
24939,596500,3.875,-0.0231,3375.48,360,668000,6780,858,89.29640719,39,type1,p1,l1,25-34,North,pr,nob/c,0
